local,rooms,price,area,restroom,status,kind,movel
" São Martinho do Porto, Alcobaça, Leiria",T1,350,75,1,Usado,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T1,290,62,1,97918 /AL,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T1,335,55,,Casas de Banho: 1,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T2,380,90,1,Usado,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T3,600,110,2,98211 /AL,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T2,450,90,2,Usado,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T1,275,35,1,Usado,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T3,550,110,2,Usado,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T1,300,52,1,Renovado,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T2,450,92,2,Usado,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T3,500,110,2,Usado,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T2,400,102,1,Usado,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T3,625,110,2,Usado,apartamento,ferias
" São Martinho do Porto, Alcobaça, Leiria",T2,400,85,1,Usado,apartamento,ferias
